 count, option , default , type , help 
12, ['--minres'] ,0, float , The lowest resolution to be fitted (Angstroms) 
12, ['--niter'] ,10, int , number of iterations 
12, ['--saveali'] , False , None , Save a stack file (aliptcls_XX.hdf) containing the aligned particles. 
12, ['--threshold'] ,  , str , EMAN2 processor to be used   to threshold the img2process. See available thresholds by typing    e2help.py processors --verbose=10   at the command line. 
11, ['--averager'] , mean , str , The type of averager used to produce the class average. 
11, ['--highpass'] ,  , str , A highpass filtering processor (as in e2proc3d.py) to be applied to the edited img2process. 
11, ['--setsf'] ,  , str ,  
11, ['--subset'] ,0, int , Default=0 (not used). Apply algorithm to only a subset of images in each stack file. 
9, ['--ac'] ,10, float ," Amplitude contrast (percentage, default=10) "
9, ['--exclude'] , None , str , The name of a database containing a list of exclusion keys 
9, ['--force'] , False , None , This will force an action that would normally fail due to failed checks. 
9, ['--ralign'] , None , str , This is the second stage aligner used to refine the first alignment. This is usually the 'refine' aligner. 
8, ['--maskfile'] , None , str , File containing a mask to apply to the particles before normalization 
8, ['--pad'] , None , str ," Will zero-pad images to the specifed size (x,y) or (x,x) prior to reconstruction. If not specified no padding occurs. "
8, ['--raligncmp'] , ccc , str , The comparitor used by the second stage aligner. 
7, ['--check'] , False , None , Check for self-consistency and errors in the structure of specified databases 
7, ['--mass'] ,0, float ," The ~mass of the particle in kilodaltons, used to run normalize.bymass. Due to resolution effects, not always the true mass. "
7, ['--mode'] , score , str ," Which variable to histogram, score, coverage, alpha, tx, ty. default=score "
7, ['--ncls'] ,-1, int , Number of classes to generate 
7, ['--postprocess'] , None , str ," postprocessor to be applied to the 3D volume once the reconstruction is completed. There can be more than one postprocessor, and they are applied in the order in which they are specified. See e2help.py processors for a complete list of available processors. "
7, ['--process'] , None , str , A processor to apply to the particle data before classifying 
7, ['--simcmp'] , optsub:maxres=12 , str , Default=auto. The name of a 'cmp' to be used in comparing the aligned images 
7, ['--tltfile'] ,  , str , File containing a list of    tilt angles corresponding to the tilt angles of images 0 to n of an aligned   tilt series 
7, ['--tophat'] , False , None ," If set, the local filter is a tophat filter, otherwise a local Wiener filter is applied "
6, ['--center'] , xform.center , str ," If the default centering algorithm (xform.center) doesn't work well, you can specify one of the others here (e2help.py processor center), or the word 'nocenter' for no centering "
6, ['--keepsig'] , False , None , Causes the keep argument to be interpreted in standard deviations. 
6, ['--label'] , tomobox , str , Load previous contour segmentation. 
6, ['--mirror'] , False , None , Will generate a mirrored copy of the edited img2process. 
6, ['--nbasis'] ,-1, int ," Will use the first n basis images from the input, excluding the mean if present "
6, ['--phaseplate'] , False , None , Include phase/amplitude contrast in CTF estimation. For use with hole-less phase plates. 
6, ['--plots'] , False , None , Default=False. Turn this option on to generatea plot of the ccc scores during each iteration. Running on a cluster or via ssh remotely might not support plotting. 
6, ['--prefilt'] , False , None , Filter each reference (c) to match the power spectrum of each particle (r) before alignment and comparison 
6, ['--radius'] ,0, float ," Default=0 (which means it's not used by default). Hydrodynamic radius of the particle in Angstroms. This will be used to automatically calculate the angular steps to use in search of the best alignment. Make sure the apix is correct on the particles' headers, sine the radius will be converted from Angstroms to pixels. Then, the fine angular step is equal to 360/(2*pi*radius), and the coarse angular step 4 times that. "
6, ['--simalign'] , rotate_translate_flip , str , Default=auto. The name of an 'aligner' to use prior to comparing the images 
6, ['--step'] ," 0,1 ", str ," Specify <init>,<step>[,<max>]. Processes only a subset of the input data. For example, 0,2 would process only the even numbered particles "
5, ['--classalign'] , rotate_translate_tree , str ," If doing more than one iteration, this is the name and parameters of the 'aligner' used to align particles to the previous class average. "
5, ['--classaligncmp'] , ccc , str , This is the name and parameters of the comparitor used by the fist stage aligner  Default is dot. 
5, ['--classaverager'] , ctf.weight.autofilt , str , The averager used to generate the class averages. Default is 'mean'. 
5, ['--classcmp'] , ccc , str ," The name and parameters of the comparitor used to generate similarity scores, when class averaging. Default is ccc' "
5, ['--classiter'] ,5, int , Number of iterations to use when making class-averages (default=5) 
5, ['--classkeep'] ,0.85, float ," The fraction of particles to keep in each class, based on the similarity score generated by the --cmp argument (default=0.85). "
5, ['--classkeepsig'] , False , None , Change the keep ('--keep') criterion from fraction-based to sigma-based. 
5, ['--classmx'] , None , str ," The name of the classification matrix specifying how particles in 'input' should be grouped. If omitted, all particles will be averaged. "
5, ['--classnormproc'] , normalize.edgemean , str , Normalization applied during class averaging 
5, ['--classralign'] , None , str , The second stage aligner which refines the results of the first alignment in class averaging. Default is None. 
5, ['--classraligncmp'] , ccc , str , The comparitor used by the second stage aligner in class averageing. Default is dot:normalize=1. 
5, ['--defocus'] ,10000, float , (Expert Option) Defocus in A 
5, ['--defocusmax'] ,4, float , Maximum autofit defocus 
5, ['--defocusmin'] ,0.6, float , Minimum autofit defocus 
5, ['--goldcontinue'] , False , None , Will use even/odd refs corresponding to specified reference to continue refining without phase randomizing again 
5, ['--learnrate'] ,0.0001, float , learning rate for model training only. Default is 1e-4.  
5, ['--maskalign'] , None , str ," Mask file applied to 3D alignment reference in each iteration. Not applied to the average, which will follow normal masking routine. "
5, ['--maxang'] ,30, float , Maximum angular difference for the refine mode. default is 30 
5, ['--maxtilt'] ,90, float , Explicitly zeroes data beyond specified tilt angle. Assumes tilt axis exactly on Y and zero tilt in X-Y plane. Default 90 (no limit). 
5, ['--model'] ,  , str , load from an existing model file 
5, ['--mult'] , None , float , Multiply image by a constant. mult=-1 to invert contrast. 
5, ['--nofilecheck'] , False , None , Turns file checking off in the check functionality - used by e2refine.py. 
5, ['--orientgen'] , eman:delta=9.0:inc_mirror=0:perturb=1 , str , The type of orientation generator. Default is eman:delta=9.0:inc_mirror=0:perturb=1. See e2help.py orientgens 
5, ['--outmode'] , float , str ," All EMAN2 programs write images with 4-byte floating point values when possible by default. This allows specifying an alternate format when supported (float, int8, int16, int32, uint8, uint16, uint32). Values are rescaled to fill MIN-MAX range. "
5, ['--preavgproc1'] ,  , str ," Default=None. A processor (see 'e2help.py processors -v 10' at the command line) to be applied to the raw particle after alignment but before averaging (for example, a threshold to exclude extreme values, or a highphass filter if you have phaseplate data.) "
5, ['--preavgproc2'] ,  , str ," Default=None. A processor (see 'e2help.py processors -v 10' at the command line) to be applied to the raw particle after alignment but before averaging (for example, a threshold to exclude extreme values, or a highphass filter if you have phaseplate data.) "
5, ['--ptclin'] , None , str , particle input 
5, ['--refine'] , None , None , Specify a refinement directory as an alternative to providing classmx files. Even and odd subsets will be interleaved based on input set. 
5, ['--res'] ,2.8, float ," Resolution in A, equivalent to Gaussian lowpass with 1/e width at 1/res "
5, ['--savesteps'] , False , None ," Default=False. If set, will save the average after each iteration to class_#.hdf. Each class in a separate file. Appends to existing files. "
5, ['--scale'] , None , float , Scale by specified scaling factor. Clip must also be specified to change the dimensions of the output map. 
5, ['--search'] ,10, int ," maximum extent of the translational search, default=10 "
5, ['--simaligncmp'] , ccc , str , Default=auto. Name of the aligner along with its construction arguments 
5, ['--simralign'] , None , str , Default=auto. The name and parameters of the second stage aligner which refines the results of the first alignment 
5, ['--simraligncmp'] , ccc , str , Default=auto. The name and parameters of the comparitor used by the second stage aligner. 
5, ['--smooth'] ,40, float , smoothing factor for subtlt. 
5, ['--tiltrange'] ,60, float ," Maximum angular value at which the highest tilt picture will be simulated. Projections will be simulated from -tiltrange to +titlrange. For example, if simulating a tilt series collected from -60 to 60 degrees, enter a --tiltrange value of 60. Note that this parameter will determine the size of the missing wedge. "
5, ['--tiltseries'] ,  , str , Aligned tilt series. File format must be MRC and must have .mrc or .st or .ali extension. 
5, ['--tomo'] , False , None ," If checked, aligned frames will be placed in a tiltseries located in the 'tiltseries' directory. Otherwise, aligned sums will populate the 'micrographs_mrc' directory. "
5, ['--transonly'] , False , None ," translational alignment only, for prealigned particles "
5, ['--tweak'] , False , None , WARNING: BUGGY. This will perform a final alignment with no downsampling [without using --shrink or --shrinkfine] if --shrinkfine > 1. 
5, ['--verbose'] ,0, int ," verbose level [0-9], higher number means higher level of verboseness "
5, ['--weighbyscore'] , False , None , Default=False. This option will weigh the contribution of each subtomogram to the average by score/bestscore. 
5, ['--weighbytiltaxis'] ,  , str ," Default=None. A,B, where A is an integer number and B a decimal. A represents the location of the tilt axis in the tomogram in pixels (eg.g, for a 4096x4096xZ tomogram, this value should be 2048), and B is the weight of the particles furthest from the tomogram. For example, --weighbytiltaxis=2048,0.5 means that praticles at the tilt axis (with an x coordinate of 2048) will have a weight of 1.0 during averaging, while the distance in the x coordinates of particles not-on the tilt axis will be used to weigh their contribution to the average, with particles at the edge(0+radius or 4096-radius) weighing 0.5, as specified by the value provided for B. "
4, ['--allparticles'] , False , None ," Will process all particle stacks stored in the particles subdirectory (if specified, list of files will be ignored) "
4, ['--ampcont'] ,0.1, float , (Expert Option) Amplitude Constrast. 10%% = .1 
4, ['--astigmatism'] , False , None , Includes astigmatism in automatic fitting 
4, ['--autocenter'] ,  , str ," Default=None. Autocenters each averaged pair during initial average generation with --btref and --hacref. Will also autocenter the average of all particles after each iteration of iterative refinement. Options are --autocenter=xform.centerofmass (self descriptive), or --autocenter=xform.centeracf, which applies auto-convolution on the average. "
4, ['--automask3d'] , None , str ," Default=auto. Specify as a processor, eg - mask.auto3d:threshold=1.1:radius=30:nshells=5:nshellsgauss=5. "
4, ['--automaskexpand'] ,-1, int ," Number of voxels of post-threshold expansion in the mask, for use when peripheral features are truncated. (default=shrunk boxsize/20) "
4, ['--average'] , False , None , Average the particles within each class 
4, ['--box'] ,0, int , Box size in pixels 
4, ['--boxsz'] ,32, int , Box size 
4, ['--classes'] , None , str , Generate class-averages directly. No bad particle exclusion or iteration. Specify filename. 
4, ['--classrefsf'] , False , None , Use the setsfref option in class averaging to produce better filtered averages. 
4, ['--cutoff'] ,0.143, float , fsc cutoff. default is 0.143 
4, ['--even'] , False , None , Used by EMAN2 when running eotests. Includes only even numbered particles in class averages. 
4, ['--falign'] , None , str , Default=None. This is the second stage aligner used to fine-tune the first alignment. 
4, ['--faligncmp'] , ccc.tomo.thresh , str , Default=ccc.tomo.thresh. The comparator used by the second stage aligner. 
4, ['--fromscratch'] , False , None ," Force refitting of CTF from scratch, ignoring any previous fits. "
4, ['--highpassfine'] ,  , str , Default=None. A highpass filtering processor (see 'e2help.py processors -v 10' at the command line) to be applied to each volume prior to FINE alignment. Not applied to aligned particles before averaging. 
4, ['--last'] ,-1, int , Last image to include in the plot. 
4, ['--lowmem'] , False , None , Causes images to be loaded as needed to reduce memory usage at the cost of time. 
4, ['--lowpassfine'] ,  , str , Default=None. A lowpass filtering processor (see 'e2help.py processors -v 10' at the command line) to be applied to each volume prior to FINE alignment. Not applied to aligned particles before averaging. 
4, ['--m3dpostprocess'] , None , str ," Default=none. An arbitrary post-processor to run after all other automatic processing. Maps are autofiltered, so a low-pass filter should not normally be used here. "
4, ['--maxalt'] ,180, float , Maximum alignment altitude to include. Deafult=180 
4, ['--multfile'] , None , str ," Multiplies the volume by another volume of identical size. This can be used to apply masks, etc. "
4, ['--no_wt'] , False , None ," This argument turns automatic weighting off causing all images to be weighted by 1. If this argument is not specified images inserted into the reconstructed volume are weighted by the number of particles that contributed to them (i.e. as in class averages), which is extracted from the image header (as the ptcl_repr attribute). "
4, ['--normproj'] , False , None ," Normalize the projections resulting from 'project', such that the length of each vector is 1 "
4, ['--npeakstorefine'] ,4, int , Default=1. The number of best coarse alignments to refine in search of the best final alignment. Default=1. 
4, ['--outsize'] , None , str ," Defines the dimensions (x,y,z) or (x,x,x) of the final volume written to disk, if ommitted, size will be based on unpadded input size "
4, ['--pad2d'] ,0, float , Padding factor to zero-pad   the 2d images in the tilt series prior to reconstruction.   (The final reconstructed subvolumes will be cropped to the original size). 
4, ['--pad3d'] ,0, float , Padding factor to zero-pad   the reconstruction volume. (The final reconstructed subvolumes will be cropped to    the original size). 
4, ['--precision'] ,1, float ," Default=1.0. Precision in pixels to use when figuring out alignment parameters automatically using --radius. Precision would be the number of pixels that the the edge of the specimen is moved (rotationally) during the finest sampling, --falign. If precision is 1, then the precision of alignment will be that of the sampling (apix of your images) times the --shrinkfine factor specified. "
4, ['--prectf'] , False , None , Apply particle CTF to each reference before alignment 
4, ['--preprocessfine'] ,  , str , Any processor (see 'e2help.py processors -v 10' at the command line) to be applied to each volume prior to FINE alignment. Not applied to aligned particles before averaging. 
4, ['--procfinelikecoarse'] , False , None ," If you supply this parameters, particles for fine alignment will be preprocessed identically to particles for coarse alignment by default. If you supply this, but want specific parameters for preprocessing particles for also supply: fine alignment, nd supply fine alignment parameters, such as --lowpassfine, --highpassfine, etc; to preprocess the particles for FINE alignment differently than for COARSE alignment. "
4, ['--ptclout'] , None , str , particle output 
4, ['--randomizewedge'] , False , None ," Default=False. This parameter is EXPERIMENTAL. It randomizes the position of the particles BEFORE alignment, to minimize missing wedge bias and artifacts during symmetric alignment where only a fraction of space is scanned "
4, ['--recon'] , fourier , None , Reconstructor to use see e2help.py reconstructors -v. Default is fourier:mode=gauss_2 
4, ['--reconstructor'] , fourier:mode=gauss_2 , str ," Default=fourier:mode=gauss_2. The reconstructor to use to reconstruct the tilt series into a tomogram. Type 'e2help.py reconstructors' at the command line to see all options and parameters available. To specify the interpolation scheme for the fourier reconstruction, specify 'mode'. Options are 'nearest_neighbor', 'gauss_2', 'gauss_3', 'gauss_5', 'gauss_5_slow', 'gypergeom_5', 'experimental'. For example --reconstructor=fourier:mode=gauss_5  "
4, ['--refinentry'] ,8, int , number of tests for refine mode. default is 8 
4, ['--restarget'] ,-1, float , The specified target resolution to avoid underfiltering artifacts. 
4, ['--resume'] , False , None ," This will cause a check of the files in the current directory, and the refinement will resume after the last completed iteration. It's ok to alter other parameters. "
4, ['--saveallalign'] , False , None ," Default=False. If set, will save the alignment parameters after each iteration "
4, ['--searchfine'] ,2, int ," ""Default=2. During FINE alignment translational search in X, Y and Z, in pixels. Default=2. This WILL overwrite any search: provided through --falign, EXCEPT if you provide --searchfine=2, which is the default. In general, just avoid providing search twice (through here and through the fine aligner --falign). If you do, just be careful to make them consistent to minimize misinterpretation and error. "
4, ['--sep'] ,1, int , The number of classes a particle can contribute towards (default is 1) 
4, ['--shrinkfine'] ,1, int , Default=1 (no shrinking). Optionally shrink the input volumes by an integer amount for refine alignment. 
4, ['--suffix'] , _ptcls , str , suffix which is appended to the names of output particle and coordinate files 
4, ['--tilesize'] ,512, int , Tile size to use for strips   when --autofit is provided. 
4, ['--tiltaxis'] , False , None , Do a tiltaxis correction(Takes into account variations in tilt axis from micrograph to micrograph. Only possible if e2RCTboxer was used for particle picking 
3, ['--add'] , None , float , Adds a constant 'f' to the densities 
3, ['--applysym'] , c1 , str , Symmetry to apply to the structure after classification. 
3, ['--autocentermask'] ,  , str , Default=None. Masking processor to apply before autocentering. See 'e2help.py processors -v 10' at the command line. 
3, ['--autocenterpreprocess'] , False , None ," Default=False. This will apply a highpass filter at a frequency of half the box size times the apix, shrink by 2, and apply a low pass filter at half nyquist frequency to any computed average for autocentering purposes if --autocenter is provided. Default=False. "
3, ['--automask'] , False , None ," Applies a 2-D automask before centering. Can help with negative stain data, and other cases where centering is poor. "
3, ['--bfactor'] ,1000, int ," Default=1000. Bfactor or   temperature factor to use. Supply it to replace the value   in ctfparamsfile(s), or if ctfparamsfile(s) are lacking altogether. "
3, ['--cmpdiff'] , False , None , Compare using the difference of the two children 
3, ['--constbfactor'] ,-1, float ," Set B-factor to fixed specified value, negative value autofits "
3, ['--coords'] ,  , str , Specify box file with x and y gold coordinates. Must follow standard box file format (x<tab>y<tab>xsize<ysize>) although box sizes are ignored. 
3, ['--cshrink'] ,0, int ," If the tomogram was PREVIOUSLY shrunk, --cshrink is the factor by which the tomogram supplied through --tomogram was shrunk with respect to                the raw (unshrunk) tomogram. This CAN work in conjuction with --shrinktomo, so be careful. If both parameters are specified,               the coordinates found by the autoboxer will be multiplied by BOTH factors. "
3, ['--cuda'] , False , None , Use CUDA for the alignment step. 
3, ['--curdefocusfix'] , False , None ," Fixes the defocus at the current determined value (if any) (+-.001 um), but recomputes SSNR, etc. "
3, ['--delta'] ,30, float ," step size for the orientation generator, default=30.0 "
3, ['--device'] , cpu , str ," For Convnet training only. Pick a device to use. chose from cpu, gpu, or gpuX (X=0,1,...) when multiple gpus are available. default is cpu "
3, ['--extract'] , False , None ," If set, will also produce a .txt file for plotting with all of the per-particle statistics "
3, ['--extrapad'] , False , None ," If particles were boxed more tightly than EMAN requires, this will add some extra padding, but only to processed output particles "
3, ['--filterbyfsc'] , False , None ," Default=False. If on, this parameter will use dynamic FSC filtering. --lowpass will be used to build initial references if no --ref supplied, then, the FSC between the even and odd initial references will be used to filter the data during preprocessing. If --ref is supplied, --lowpass will be used during the first iteration to align the particles against the reference. Thereafter, the FSC between the most current particle average and the original reference (--ref) will be used in the next iteration. "
3, ['--first'] ,-1, int , First image to include in the plot. 
3, ['--fp'] , None , int ," This generates rotational/translational 'footprints' for each input particle, the number indicates which algorithm to use (0-6) "
3, ['--goldstandard'] ,0, float ," If specified, will phase randomize the even and odd references past the specified resolution (in A, not 1/A) "
3, ['--gpuid'] ,  , str , Specify the gpu to use 
3, ['--include'] , None , str ," only works if --create is supplied. comma-separated list of indexes to take from the input file(s) to INCLUDE in the created .lst file. if you have the list of indexes to include in a .txt file, you can provide it through --list. "
3, ['--input_model'] , None , None ," If the class-averages have the model_id parameter (produced by e2refinemulti.py), this will use only class-averages with the specified model_id for the reconstruction. "
3, ['--invartype'] , auto , None ," Which type of invariants to generate: (bispec,harmonic) "
3, ['--list'] , None , str , Specify the name of a file with a list of images to use in creation of virtual stacks. Please see source for details. 
3, ['--load'] , None , str , Load previous contour segmentation. 
3, ['--loadali3d'] , None , str , previous 3d alignment 
3, ['--localrefine'] , False , None , local refinement 
3, ['--m3dkeep'] ,0.8, float , The fraction of slices to keep in e2make3d.py. Default=0.8 -> 80%% 
3, ['--m3dkeepsig'] , False , None , Default=auto. The standard deviation alternative to the --m3dkeep argument 
3, ['--m3dpreprocess'] , None , str , Default=auto. Normalization processor applied before 3D reconstruction 
3, ['--matchimgs'] , False , None , Default=False. Applies filter.matchto to one image so that it matches the other's spectral profile during preprocessing for pair-wise alignment purposes. 
3, ['--meanshrink'] , None , float , Reduce an image size by an integral (1.5 also allowed) scaling factor using average. eg - 2 will reduce image size to 1/2. Clip is not required. 
3, ['--medianshrink'] , None , int ," Reduce an image size by an integral scaling factor, uses median filter. eg - 2 will reduce image size to 1/2. Clip is not required. "
3, ['--merge'] , False , None , This will merge the contents of BDB 2-N into BDB 1 (including BDB 1's contents) 
3, ['--minalt'] ,0, float , Minimum alignment altitude to include. Default=0 
3, ['--minptcl'] ,0, int , Files with fewer than the specified number of particles will be skipped 
3, ['--minqual'] ,0, int , Files with a quality value lower than specified will be skipped 
3, ['--nbasisfp'] ,12, int ," Only used in MSA mode. Number of MSA basis vectors to use when classifying particles, default=12 "
3, ['--nkeep'] ,0, int , Default=0 (not used). Total number of particles to keep right before writing the coordinates file and output stack. Supersedes --keep 
3, ['--noali'] , False , None , Average of non-aligned frames. 
3, ['--nolog'] , False , None , Default=False. Turn off recording of the command ran for this program onto the .eman2log.txt file 
3, ['--norm'] , normalize.edgemean , str ," Normalization processor to apply to written particle images. Should be normalize, normalize.edgemean,etc.Specifc ""None"" to turn this off "
3, ['--nref'] ,-1, int , duplicate the first ref N times with phase randomization at 2xres 
3, ['--odd'] , False , None , Used by EMAN2 when running eotests. Includes only odd numbered particles in class averages. 
3, ['--prethreshold'] , False , None , Applies an automatic threshold to the volume before projecting 
3, ['--projector'] , standard , None , Projector to use 
3, ['--ptcls'] , None , str , Class average or particles input. 
3, ['--rand180'] , False , None , randomly add a 180 degree rotation during refine alignment 
3, ['--randomize'] , None , str ," Randomly rotate/translate the image. Specify: da,dxy,flip  da is a uniform distribution over +-da degrees, dxy is a uniform distribution on x/y, if flip is 1, random handedness changes will occur "
3, ['--randphi'] , False , None , randomize phi during refine alignment 
3, ['--range'] , None , str ," Specify <minval>,<maxval> representing the largest and smallest values to be saved in the output file. Automatic if unspecified. "
3, ['--rawtlt'] , None , None ," Specify an imod/serialem rawtlt file, and imported tilt series will be sorted in tilt sequence instead of collection sequence, 'auto' will attempt to find a .tlt file automatically "
3, ['--replace'] , None , str , Replace the input subtomograms used for alignment with the specified file (used when the aligned particles were masked or filtered) 
3, ['--rotate'] , None , float , Rotate clockwise (in degrees) 
3, ['--savepreproc'] , False , None , Default=False. Will save stacks of preprocessed particles (one for coarse alignment and one for fine alignment if preprocessing options are different). 
3, ['--selfcl'] , None , int , Output file will be a 180x180 self-common lines map for each image. 
3, ['--shrinks1'] ,0, int , The level of shrinking to apply in the first stage of the two-stage classification process. Default=0 (autoselect) 
3, ['--simmask'] , None , str , Default=auto. A file containing a single 0/1 image to apply as a mask before comparison but after alignment 
3, ['--simthr'] ,-0.1, float , Similarity is smaller for better 'quality' particles. Specify the highest value to include from e2spt_hist.py. Default -0.1 
3, ['--skipali'] , False , None , skip alignment. the program will do nothing. mostly for testing... 
3, ['--symcopy'] , False , None , symcopy 
3, ['--targetres'] ,20, float , Target resolution 
3, ['--tiltangles'] ,  , str , File in .tlt or .txt format containing the tilt angle of each tilt image in the tiltseries. 
3, ['--translate'] , None , str ," Translate by x,y pixels "
3, ['--use3d'] , False , None , use projection of 3d particles instead of 2d sub tilt series 
3, ['--write_ptcls'] , False , None , Write particles to disk 
2, ['--allmicrographs'] , False , None , Add all images from micrographs folder 
2, ['--alltiltseries'] , False , None ," Use all tilt series in the folder. Acceptable file extensions include hdf, mrc, mrcs, st. "
2, ['--ampcorrect'] , auto , None , Will perform amplitude correction via the specified method.  'flatten' requires a target resolution better than 8 angstroms (experimental). 'none' will disable amplitude correction (experimental). 
2, ['--anglesindxinfilename'] , None , int ," Default=None. The filename of the images will be split at any occurence of the following delimiters: '_', '-', '+', '[' , ']' , ',' , ' ' (the two last ones are a comma and a blank space). Provide the index (position) of the angle in the split filename. For example, if the filename of an image is ""my_specimen-oct-10-2015_-50_deg-from_k2 camera.mrc"", it will be split into ['my','specimen','oct','10','2015','','50','deg','from','k2','camera','mrc']. The angle '-50', is at position 6 (starting from 0). Therefore, you would provide --anglesindxinfilename=6, assuming all images to be stacked/processed are similarly named. No worries about the minus sign disappearing. The program will look at whether there's a minus sign immediately preceeding the position where the angle info is. "
2, ['--anisotropic'] , None , str ," Anisotropic scaling, stretches on one axis and compresses the orthogonal axis. Specify amount,angle. See e2evalrefine "
2, ['--append'] , False , None , Append to the output file 
2, ['--autofit'] , False , None , Runs automated CTF fitting on the input images 
2, ['--automask3d2'] , None , str ," Default=none. If specified, this mask will be multiplied by the result of the first mask, eg - using mask.soft to mask out the center of a virus. "
2, ['--batchsize'] ,10, int , Batch size of stochastic gradient desent. N particles are randomly selected to generate an initial model at each step. 
2, ['--beta'] ,0, float , beta in imagic convention. 
2, ['--bins'] ,100, int , Number of bins to use in the histogram 
2, ['--breaksymsym'] , None , str , the symmetry to use for breaksym. setting sym to c6 and this to c2 results in a c3 structure. default is the same as sym 
2, ['--chains'] , None , str ," String list of chain identifiers to include, eg 'ABEFG' "
2, ['--classautomask'] , False , None , This will apply an automask to the class-average during iterative alignment for better accuracy. The final class averages are unmasked. 
2, ['--colmasks'] , None , str ," File containing one mask for each column (projection) image, to be used when refining row (particle) image alignments. "
2, ['--ctfcorrect'] , False , None , (T/F)Do CTF Correction? 
2, ['--curdefocushint'] , False , None ," Rather than doing the defocus from scratch, use existing values in the project as a starting point "
2, ['--curve'] , False , None , . 
2, ['--dark'] , None , str , Use this dark reference. 
2, ['--dataphaseflipped'] , False , None , (T/F)Has the data been phase flipped already? 
2, ['--dfmax'] ,5, float , Set maximum possible defocus value (positive is underfocus). 
2, ['--dfmin'] ,0.5, float , Set minimum possible defocus value (positive is underfocus). 
2, ['--dotest'] , False , None , only make 1 batch of subtomograms for testing 
2, ['--dump'] , False , None ," List contents of an entire database, eg 'e2bdb.py -D refine_01#register "
2, ['--edgefile'] , None , str ," Load fixed fragment file; one sequence of forced connections per line, separated by space. "
2, ['--excludebad'] , False , None , Exclude bad particles. 
2, ['--extension'] , dm3 , str , Extension of the micrographs that the boxes match 
2, ['--fastseed'] , False , None ," Will seed the k-means loop quickly, but may produce lest consistent results. "
2, ['--filterto'] ,0.02, float , Fiter map to frequency after each iteration. Default is 0.02 
2, ['--fixintscaling'] , None , str ," When writing to an 8 or 16 bit integer format the data must be scaled. 'noscale' will assume the pixel values are already correct, 'full' will insure the full range of values are included in the output, 'sane' will pick a good range, a number will set the range to mean+=sigma*number "
2, ['--focused'] , None , str , Name of a reference projection file to read 1st iteration refine alignment references from. 
2, ['--format'] , hdf , None ," Format of the output particles images, should be hdf "
2, ['--fouriershrink'] , None , float , Reduce an image size by an arbitrary scaling factor by clipping in Fourier space. eg - 2 will reduce image size to 1/2. 
2, ['--gain'] , None , str , Use this gain reference. 
2, ['--gauss'] , False , None , use gaussian filter instead of tophat 
2, ['--groupby'] , None , int ," Before alignment, sum raw frames in groups of X to increase signal to noise ratio. "
2, ['--highdensity'] , False , None ," If particles are very close together, this will interfere with SSNR estimation. If set uses an alternative strategy, but may over-estimate SSNR. "
2, ['--highesttilt'] ,0, float ," Highest tilt angle. If not supplied, it will be assumed to be 1* --tiltrange. "
